Price,Close,High,Low,Open,Volume,MA10,MA50,Daily_Return,Target
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,
Date,,,,,,,,,
2020-03-13,67.16474914550781,67.63592258199654,61.11926832671573,64.00428573904365,370732000,68.28251953125,73.8013249206543,0.1198081902771988,58.524208068847656
2020-03-16,58.524208068847656,62.60043194062402,57.99021323308223,58.46138297821733,322423600,66.9149169921875,73.523798828125,-0.1286469641677812,61.0975227355957
2020-03-17,61.0975227355957,62.245242026979696,57.60361074150865,59.80482274842446,324056000,66.03394813537598,73.31181648254395,0.043970089500755094,59.601871490478516
2020-03-18,59.601871490478516,60.40648633083556,57.294342975256725,57.93465394251518,300233600,64.67915267944336,73.05849563598633,-0.024479736299452548,59.14519119262695
2020-03-19,59.14519119262695,61.09269547807698,58.62086339938416,59.775834978401704,271857200,63.515964889526366,72.80283821105957,-0.0076621805059345904,55.39032745361328
2020-03-20,55.39032745361328,60.848656123776394,55.09070998430256,59.72509337905043,401693200,62.0712833404541,72.44894264221192,-0.06348552880291902,54.2136116027832
2020-03-23,54.2136116027832,55.21152792629808,51.37209184292637,55.110045472758834,336752800,61.06128463745117,72.04046463012695,-0.021244067419812995,59.65260696411133
2020-03-24,59.65260696411133,59.84832336499044,56.61295251663222,57.11070131069981,287531200,60.131991958618165,71.73739219665528,0.10032527257506851,59.32399368286133
2020-03-25,59.32399368286133,62.399890444761496,59.02920978154729,60.587696143364745,303602000,59.409288024902345,71.39578353881836,-0.005508783236375603,62.445804595947266
2020-03-26,62.445804595947266,62.503792458271775,59.52696298189895,59.565624014727966,252087200,59.655988693237305,71.1372452545166,0.052623074059624964,59.86039733886719
2020-03-27,59.86039733886719,61.82481325258339,59.69367489036661,61.0709416804956,204216800,58.925553512573245,70.8334593963623,-0.041402417244982836,61.568702697753906
2020-03-30,61.568702697753906,61.74025873047765,60.26150553022684,60.585287078823825,167976400,59.23000297546387,70.54503715515136,0.02853815602352383,61.44305419921875
2020-03-31,61.44305419921875,63.424386025978244,60.88973245903772,61.75958725464871,197002000,59.264556121826175,70.23727653503418,-0.0020407852208934596,58.21010971069336
2020-04-01,58.21010971069336,60.097207829556126,57.7800158056968,59.560797914440066,176218400,59.125379943847655,69.87527053833008,-0.05261692359958403,59.18143081665039
2020-04-02,59.18143081665039,59.234588810411715,57.24117510511811,58.072368803656616,165934000,59.12900390625,69.52724296569824,0.01668646753604386,58.330909729003906
2020-04-03,58.330909729003906,59.36748322353769,57.7413419398106,58.66676958439928,129880000,59.42306213378906,69.15482887268067,-0.014371418127444024,63.419551849365234
2020-04-06,63.419551849365234,63.57418859482583,60.25666962435699,60.62393834693367,201820400,60.34365615844727,68.888623046875,0.08723748942031495,62.68500518798828
2020-04-07,62.68500518798828,65.64975968703479,62.58110782117214,65.43229047893388,202887200,60.64689598083496,68.6528515625,-0.011582337622341732,64.28941345214844
2020-04-08,64.28941345214844,64.60352421399418,63.1199448269442,63.484794969799864,168895200,61.14343795776367,68.40703231811523,0.025594769584027954,64.7533187866211
2020-04-09,64.7533187866211,65.25590475851683,63.95837493137018,64.92487847473,161834800,61.374189376831055,68.13843063354493,0.007215889981916579,66.0242691040039
2020-04-13,66.0242691040039,66.1330036952468,64.23140190068074,64.83063671400997,131022800,61.990576553344724,67.89751373291016,0.019627570311429476,69.35871887207031
2020-04-14,69.35871887207031,69.64867293181604,67.1840855454915,67.6552590491188,194994800,62.76957817077637,67.79251647949219,0.050503395392591965,68.72566986083984
2020-04-15,68.72566986083984,69.18475770892147,67.8074941646766,68.23516945822269,131154400,63.497839736938474,67.67895614624024,-0.009127172784118232,69.271728515625
2020-04-16,69.271728515625,69.63658597716727,68.22307301485074,69.43845097329417,157125200,64.60400161743163,67.5271907043457,0.007945483192682623,68.331787109375
2020-04-17,68.331787109375,69.33454028123167,66.89652897721241,68.78846350317025,215250000,65.5190372467041,67.34409149169922,-0.013568903597345416,66.91346740722656
2020-04-20,66.91346740722656,68.06119058127958,66.89414057720502,67.15993057649021,130015200,66.37729301452637,67.11449829101562,-0.02075636774841272,64.84514617919922
2020-04-21,64.84514617919922,66.99078550242736,64.13476539316186,66.75640806793423,180991600,66.51985244750976,66.8648503112793,-0.03091038782133071,66.71289825439453
2020-04-22,66.71289825439453,67.14782183221747,65.77055891988769,66.11124487734209,116862400,66.92264175415039,66.64521209716797,0.028803267248928455,66.45439147949219
2020-04-23,66.45439147949219,68.07811832327417,66.41573043870696,66.657356413235,124814400,67.13913955688477,66.4297785949707,-0.003874914471809987,68.37288665771484
2020-04-24,68.37288665771484,68.3825537591584,66.93037962499518,66.9787077583751,126161200,67.50109634399413,66.21603607177734,0.02886935137784996,68.42121887207031
2020-04-27,68.42121887207031,68.7522452213369,67.64318307081028,68.09018514896542,117087600,67.74079132080078,66.01452056884766,0.000706891528471365,67.3121337890625
2020-04-28,67.3121337890625,69.06392140300909,67.22032214952667,68.88270199466979,112004800,67.5361328125,65.79043640136719,-0.016209665675227303,69.52302551269531
2020-04-29,69.52302551269531,69.99178036647727,68.59518290617446,68.79814778505363,137280800,67.61586837768554,65.63932342529297,0.03284536678871497,70.98967742919922
2020-04-30,70.98967742919922,71.16606696831562,69.67282086621682,70.06183497622997,183064000,67.78766326904297,65.49521713256836,0.021095916147033655,69.84680938720703
2020-05-01,69.84680938720703,72.24615310349837,69.06877359729275,69.16542249456992,240616800,67.93916549682618,65.34429748535156,-0.016099073603088487,70.83505249023438
2020-05-04,70.83505249023438,70.96311392727311,69.1823321546666,69.87096747127923,133568000,68.33132400512696,65.2481787109375,0.014148722206462683,71.89820098876953
2020-05-05,71.89820098876953,72.72939466051092,71.1491592367676,71.2941362490643,147751200,69.03662948608398,65.24518249511719,0.01500879100332031,72.64000701904297
2020-05-06,72.64000701904297,73.27064717863384,72.21474300795924,72.59892736503848,142333600,69.62934036254883,65.30583084106445,0.010317449116554522,73.39143371582031
2020-05-07,73.39143371582031,73.73696428730197,72.96375861359095,73.26579092772248,115215200,70.32304458618164,65.35942276000976,0.01034452951774023,75.1383056640625
2020-05-08,75.1383056640625,75.19160756554702,73.72339119914562,74.05047071308249,133838400,70.99958648681641,65.54039825439453,0.0238021232151735,76.32061767578125
2020-05-11,76.32061767578125,76.81486350373997,74.4380975285037,74.64646215282984,145946400,71.7895263671875,65.74579345703125,0.015735143363556414,75.44842529296875
2020-05-12,75.44842529296875,77.45450365262057,75.32728527754581,77.00385895047138,162301200,72.60315551757813,65.81075729370117,-0.01142800476953254,74.53744506835938
2020-05-13,74.53744506835938,76.54837362731435,73.46172121123148,75.62770513487014,200622400,73.10459747314454,65.90336196899415,-0.01207421123863095,74.99535369873047
2020-05-14,74.99535369873047,75.05592369907653,73.05468852162736,73.77668558751988,158929200,73.50516510009766,65.94027252197266,0.006143336814820266,74.55195617675781
2020-05-15,74.55195617675781,74.59798995557082,72.73485667770787,72.76877941737926,166348400,73.97567977905274,66.01577026367187,-0.005912333232720779,76.30850982666016
2020-05-18,76.30850982666016,76.68162311206635,75.18433442581173,75.8748339325949,135178400,74.52302551269531,66.14519760131836,0.023561469611041108,75.8675765991211
2020-05-19,75.8675765991211,77.17103702628488,75.83607901036319,76.32548203793918,101729600,74.91996307373047,66.37627716064453,-0.005778296923117376,77.34302520751953
2020-05-20,77.34302520751953,77.41328106413269,76.68644126951045,76.72520694581257,111504800,75.39026489257813,66.5442269897461,0.019447683378561065,76.76639556884766
2020-05-21,76.76639556884766,77.74520853424706,76.52895858103298,77.204921640759,102688800,75.72776107788086,66.74853424072266,-0.007455483375840455,77.26068115234375
2020-05-22,77.26068115234375,77.3430554740474,76.40300778879455,76.5047612593345,81803200,75.93999862670898,67.09417190551758,0.0064388275603326495,76.73734283447266
2020-05-26,76.73734283447266,78.55686050645615,76.68161577577496,78.37757568234818,125522000,75.98167114257812,67.28562377929687,-0.00677366947929392,77.0716781616211
2020-05-27,77.0716781616211,77.21704762323688,75.85543536682479,76.59439371595593,112945200,76.14399642944336,67.65657318115234,0.004356879125585911,77.1056137084961
2020-05-28,77.1056137084961,78.36304756047794,76.47084126097369,76.74703662948228,133560800,76.40081329345703,67.97673500061035,0.0004403115085134246,77.03052520751953
2020-05-29,77.03052520751953,77.80824215347661,76.67437321275025,77.34791150425532,153532400,76.60433044433594,68.32530807495117,-0.0009738396125142934,77.97781372070312
2020-06-01,77.97781372070312,78.09895371175787,76.85363105469186,76.9844643152945,80791200,76.94691619873046,68.70196052551269,0.012297573080692459,78.33880615234375
2020-06-02,78.33880615234375,78.36303562857958,77.27035057638682,77.71130190496551,87642800,77.14994583129882,69.1609300994873,0.004629424889156297,78.77007293701172
2020-06-03,78.77007293701172,79.03173947926652,78.08684155798949,78.65862620653965,104491200,77.4401954650879,69.65205932617188,0.005505148799808124,78.0916748046875
2020-06-04,78.0916748046875,78.89119567752222,77.71856161359257,78.5931960727843,87560400,77.51506042480469,70.0208406829834,-0.008612384209250368,80.31581115722656
2020-06-05,80.31581115722656,80.3763811505578,78.31215843959637,78.34123085338769,137250400,77.87000198364258,70.4406770324707,0.028481094279278585,80.79067993164062
2020-06-08,80.79067993164062,80.82460267780965,79.30308470158906,80.01296326734492,95654400,78.22300186157227,70.80757453918457,0.005912519186097143,83.3418960571289
2020-06-09,83.3418960571289,83.7343884798814,80.43938634656227,80.47088393003234,147712400,78.88345718383789,71.2772045135498,0.031578099449675934,85.4860610961914
2020-06-10,85.4860610961914,85.95365964938672,83.85067134903046,84.28919748972832,166651600,79.72489547729492,71.75555168151855,0.02572733691578999,81.38185119628906
